id_pessoa,id_historico_banco,id_emprestimo,idade,salario_anual,situacao_propriedade,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_solicitado,taxa_de_juros,possibilidade_inadimplencia,percentual_emprestimo_salario,eh_inadimplente,tempo_primeira_solicitacao_credito
CZWcNgWA-kbk4,FxGG9RvP-Le3z,MjTNYsmN-6qBc,26,87000,Mortgage,9,Debtconsolidation,C,25000,12.73,0,0.29,N,2
nf2cYR8g-MgSp,9MX3jpeX-FNdL,gp7W8s0h-4AkX,24,49232,Rent,8,Education,A,8500,6.54,0,0.17,N,4
UEUPY5Ek-pj9X,LmAWWoqo-c9w7,j06x2SYk-I5XL,25,128500,Mortgage,1,Homeimprovement,C,15000,12.53,0,0.12,Y,3
2YbxH3jQ-simk,iDMvnFJD-B1oi,Wcsvj4l2-rpwN,35,50000,Mortgage,0,Education,C,5600,12.53,0,0.11,Y,7
wBIlOptl-jfvn,GmrY0YvB-GNOA,4qWQT7R6-qzXP,22,44582,Rent,6,Homeimprovement,A,4000,5.99,1,0.09,N,4
LTD2XdcS-ZCv4,iBDB52Wo-4WAb,ob9Yrlfi-Ocpc,24,65000,Mortgage,6,Personal,B,11000,11.49,0,0.17,N,2
T1iq7xpv-41Fa,2tjCLszN-Gt0F,mD49akDA-s4O3,32,56784,Own,3,Personal,D,12000,14.96,0,0.21,Y,10
MY8FOgRk-mGxs,5eRFUbNG-LUv2,a7Fz1JOC-Ovfc,23,14000,Rent,0,Debtconsolidation,C,1500,NULL,0,0.11,Y,4
JTDL4rdY-ZX45,dctkd8zk-uYR6,pw1D8xS2-dvfH,28,30000,Rent,0,Personal,B,8400,11.89,0,0.28,N,10
YyJ0DiE2-vQZA,1xatBUPh-JITH,FXoAITi9-cjr4,30,118000,Rent,5,Homeimprovement,A,10000,7.14,0,0.08,N,7
jd9c8jdM-XRwb,1FOTi6fL-c7t7,hyzrkwAS-zXNL,23,75000,Rent,2,Medical,A,8000,7.9,0,0.11,N,4
